Timestamp,Plate Number,Alert Type,Status,Action Taken,Personnel Notified
2025-06-02 16:18:43,RAD667J,UNAUTHORIZED_EXIT_ATTEMPT,ACTIVE,ALARM_ACTIVATED_GATE_BLOCKED,YES
2025-06-02 16:18:53,RAD667S,UNAUTHORIZED_EXIT_ATTEMPT,ACTIVE,ALARM_ACTIVATED_GATE_BLOCKED,YES
2025-06-02 16:18:56,RAD667J,HIGH_PRIORITY_ALERT,ACTIVE,REPEATED_UNAUTHORIZED_ATTEMPT_2,YES
2025-06-02 16:19:12,RAD667I,UNAUTHORIZED_EXIT_ATTEMPT,ACTIVE,ALARM_ACTIVATED_GATE_BLOCKED,YES
2025-06-02 16:19:20,RAD667S,HIGH_PRIORITY_ALERT,ACTIVE,REPEATED_UNAUTHORIZED_ATTEMPT_2,YES
2025-06-02 16:19:38,RAD667J,CRITICAL_SECURITY_BREACH,ACTIVE,LOCKDOWN_INITIATED_AFTER_3_ATTEMPTS,YES
2025-06-02 17:07:07,RAD667J,UNAUTHORIZED_EXIT_ATTEMPT,ACTIVE,ALARM_ACTIVATED_GATE_BLOCKED,YES
2025-06-02 17:09:19,RAD667J,UNAUTHORIZED_EXIT_ATTEMPT,ACTIVE,ALARM_ACTIVATED_GATE_BLOCKED,YES
2025-06-02 17:09:56,RAD667S,UNAUTHORIZED_EXIT_ATTEMPT,ACTIVE,ALARM_ACTIVATED_GATE_BLOCKED,YES
2025-06-02 17:10:23,RAD667I,UNAUTHORIZED_EXIT_ATTEMPT,ACTIVE,ALARM_ACTIVATED_GATE_BLOCKED,YES
2025-06-02 17:10:36,RAD667S,HIGH_PRIORITY_ALERT,ACTIVE,REPEATED_UNAUTHORIZED_ATTEMPT_2,YES
